APLFFA APL_TERMINAL10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFB APL_TERMINAL14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFC APL_TERMINAL20_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFD APL_TERMINAL28_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFE APL_TERMINAL_BOLD10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFF APL_TERMINAL_BOLD14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFG APL_TERMINAL_BOLD20_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFH APL_TERMINAL_BOLD28_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFI APL_TERMINAL_BOLD_DBLWIDE10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFJ APL_TERMINAL_BOLD_DBLWIDE14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFK APL_TERMINAL_BOLD_NARROW10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFL APL_TERMINAL_BOLD_NARROW14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFM APL_TERMINAL_BOLD_NARROW20_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFN APL_TERMINAL_BOLD_NARROW28_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFO APL_TERMINAL_BOLD_WIDE10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFP APL_TERMINAL_BOLD_WIDE14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFQ APL_TERMINAL_DBLWIDE10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFR APL_TERMINAL_DBLWIDE14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFS APL_TERMINAL_NARROW10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFT APL_TERMINAL_NARROW14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFU APL_TERMINAL_NARROW20_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFV APL_TERMINAL_NARROW28_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFW APL_TERMINAL_WIDE10_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
APLFFX APL_TERMINAL_WIDE14_100DPI.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_100DPI]
