APLFFA APL_TERMINAL14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFB APL_TERMINAL18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFC APL_TERMINAL28.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFD APL_TERMINAL36.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFE APL_TERMINAL_BOLD14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFF APL_TERMINAL_BOLD18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFG APL_TERMINAL_BOLD28.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFH APL_TERMINAL_BOLD36.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFI APL_TERMINAL_BOLD_DBLWIDE14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFJ APL_TERMINAL_BOLD_DBLWIDE18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFK APL_TERMINAL_BOLD_NARROW14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFL APL_TERMINAL_BOLD_NARROW18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFM APL_TERMINAL_BOLD_NARROW28.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFN APL_TERMINAL_BOLD_NARROW36.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFO APL_TERMINAL_BOLD_WIDE14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFP APL_TERMINAL_BOLD_WIDE18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFQ APL_TERMINAL_DBLWIDE14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFR APL_TERMINAL_DBLWIDE18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFS APL_TERMINAL_NARROW14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFT APL_TERMINAL_NARROW18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFU APL_TERMINAL_NARROW28.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFV APL_TERMINAL_NARROW36.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFW APL_TERMINAL_WIDE14.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
APLFFX APL_TERMINAL_WIDE18.DECW$FONT SYS$COMMON:[SYSFONT.DECW.USER_75DPI]
